,created_at,id,id_str,full_text,NER-Words,NER-Tags,rfind,Displaced People and Evacuations,Not Related information,displacement_term,Reporting_unit,Figure,tbr,Unnamed: 11,trigger,term_unit,conflict,attack,battl,clash,cyclon,destroyed h,earthquak,flood,hurrican,landslid,storm,tsunami,typhoon,wildfir,fire,violenc,fight,destroy,famili,homeless,household,peopl,person,shelter,displac,evacu,arriv,asylum seek,build,citizen,collaps,cross,damag,dwell,enter,evict,flee,forc,home,hous,hut,individu,inhabit,migrant,refuge,relief camp,reloc,resid,villag,civilian,idp,evacue
0,Sat Aug 29 21:25:01 +0000 2020,1.30E+18,1.30E+18,"Just in this past week, wildfires in California and Hurricane Laura in Louisiana have displaced Americans - and severe events like these are on the rise in a changing climate. Our Global Shifts Colloquium next month will explore this critical issue &amp; more: https://t.co/TToiZTr1nk https://t.co/9ErTgkbi8m","[""past"", ""week"", ""wildfires"", ""Hurricane"",""displaced"", ""Americans""]","[""B-time"", ""I-time"", ""B-trig"", ""B-trig"", ""B-term"", ""B-unit""]",FALSE,1,1,,,,,,"['wildfir', 'hurrican']",['displac'],0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Sat Aug 29 21:01:32 +0000 2020,1.30E+18,1.30E+18,"@berniespofforth @thecarolemalone Thank you for publicising the XR protest. Believe me, if we don't address the climate emergency now there will be no history to ruin.

We need to wake up. The coming migrant crisis as people are displaced due to climate change will dwarf what we see now. 

#ExtinctionRebellion","[""people"", ""displaced"", ""climate"", ""change""]","[""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",TRUE,1,1,,,,,,[],"['migrant', 'peopl', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Sat Aug 29 18:38:43 +0000 2020,1.30E+18,1.30E+18,"@enbycircle We'll have a lot more people that will become climate refugees/displaced as well &amp; I wonder how that will affect our orgs. I already know climate refugees in CA rn sadly. You're right w the disaster relief, it'll definitely provide new challenges but potentially build the mvmnt","[""people"",""refugees"", ""displaced""]","[""B-unit"", ""B-unit"", ""B-term""]",FALSE,1,1,,,,,,[],"['peopl', 'refuge', 'build']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Sat Aug 29 18:20:01 +0000 2020,1.30E+18,1.30E+18,"The smoke in San Francisco permeates everything. Thinking of all those fighting the fires, and preventing future fires today, and those displaced, hurt or bereft by wholly preventable climate change and pollution. https://t.co/b4CSMAmC3k","[""fires"", ""displaced"", ""climate"", ""change""]","[""B-trig"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,"['fight', 'fire', 'fire']",['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sat Aug 29 17:55:45 +0000 2020,1.30E+18,1.30E+18,"@marclolshep @BritishAlba @LBCNews Many people think ""global warming , great hot summers bring it on "" Just tell them there will be waves of migrants displaced by climate change and watch them wince","[""people"", ""global"", ""warming"", ""migrants"", ""displaced"", ""climate"", ""change""]","[""B-unit"", ""B-trig"", ""I-trig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,[],"['peopl', 'migrant', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Sat Aug 29 17:46:42 +0000 2020,1.30E+18,1.30E+18,"@djc547 @GaiaFawkes Where's most of climate change's flooding happening?

Aug 29 EWE:  Niger flooding: At least 45 killed, 226,000 displaced. https://t.co/xSgwKD6LAo","[""climate"", ""change"", ""flooding"", ""226,000"", ""displaced""]","[""B-trig"", ""I-trig"", ""B-trig"", ""B-fig"", ""B-term""]",TRUE,1,0,displaced,,"226,000",,,"['flood', 'flood']",['displac'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Sat Aug 29 17:23:49 +0000 2020,1.30E+18,1.30E+18,"@luxuehui @GaiaFawkes @GuidoFawkes Notice no one is considering the harm climate change is doing?

Aug 29 EWE:  Niger flooding: At least 45 killed, 226,000 displaced. https://t.co/xSgwKD6LAo","[""climate"", ""change"", ""flooding"", ""226,000"", ""displaced""]","[""B-trig"", ""I-trig"", ""B-trig"", ""B-fig"", ""B-term""]",FALSE,1,0,displaced,,"226,000",,,['flood'],['displac'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sat Aug 29 17:00:18 +0000 2020,1.30E+18,1.30E+18,"Q: What does climate gentrification look like? 

A: Since #HurricaneKatrina hit 15 years ago to date - it is estimated that 100,000 Black NOLA residents have been permanently displaced from their homes due to the destruction of affordable housing.

https://t.co/vDWgmjJ9dM","[""Hurricane"", ""15"", ""years"", ""ago"", ""100,000"", ""residents"", ""displaced""]","[""B-trig"", ""B-time"", ""I-time"", ""I-time"", ""B-fig"", ""B-unit"", ""B-term""]",FALSE,1,0,displaced,residents,"100,000",,,[],"['resid', 'displac', 'home', 'hous']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
8,Sat Aug 29 15:38:45 +0000 2020,1.30E+18,1.30E+18,"FIRES ARE STILL BURNING. PEOPLE ARE STILL DISPLACED. PEOPLE ARE STILL LOSING THEIR HOMES. PEOPLE ARE STILL RISKING THEIR LIVES TO FIGHT FIRES. CLIMATE CHANGE IS REAL. I will keep reporting on these fires until they are contained.
#WalbridgeFire 

2/20 https://t.co/S3uxeQ6QBs","[""FIRES"", ""PEOPLE"", ""DISPLACED"", ""CLIMATE"", ""CHANGE""]","[""B-trig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,1,,,,,,"['fire', 'fight', 'fire', 'fire']","['peopl', 'displac', 'peopl', 'home', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sat Aug 29 15:35:01 +0000 2020,1.30E+18,1.30E+18,"“Much of this vulnerable other ‘one percent’ will have felt the impact of the pandemic long before the virus arrives”
 
1% of the world’s population is displaced due to violence, climate events, &amp; insecurity. @HardinLang1 lays a path forward amid #COVID19:
https://t.co/1AhFgkCeEI","[""1%"", ""of"", ""the"", ""world"", ""population"", ""displaced"", ""violence"", ""climate"", ""events""]","[""B-fig"", ""I-fig"", ""I-fig"", ""I-fig"", ""I-fig"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,0,displaced,,,,,['violenc'],"['arriv', 'displac']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sat Aug 29 15:27:00 +0000 2020,1.30E+18,1.30E+18,"FIRES ARE STILL BURNING. PEOPLE ARE STILL DISPLACED. PEOPLE ARE STILL LOSING THEIR HOMES. PEOPLE ARE STILL RISKING THEIR LIVES TO FIGHT FIRES. CLIMATE CHANGE IS REAL. I will keep reporting on these fires until they are contained.

2/24

#CaliforniaFires https://t.co/KLMv7pnEWJ","[""FIRES"", ""PEOPLE"", ""DISPLACED"", ""CLIMATE"", ""CHANGE""]","[""B-trig"", ""B-unit"", ""B-term"", ""B-trig"", ""I-trig""]",FALSE,1,0,displaced,people,,,,"['fire', 'fight', 'fire', 'fire']","['peopl', 'displac', 'peopl', 'home', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Sat Aug 29 15:19:05 +0000 2020,1.30E+18,1.30E+18,"More than 13 million Americans could be displaced by the end of the century due to climate change. 
https://t.co/9TaqUvYsgR","[""13"", ""million"", ""Americans"", ""displaced"", ""by"", ""end"", ""of"", ""century"", ""climate"", ""change""]","[""B-fig"", ""I-fig"", ""B-unit"", ""B-term"", ""B-time"", ""I-time"", ""I-time"", ""I-time"", ""B-trig"", ""I-trig""]",FALSE,1,0,displaced,,13 million,,,[],['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sat Aug 29 14:35:56 +0000 2020,1.30E+18,1.30E+18,"This is climate change, poor urban planning, zero green policy or sustainable initiative, terrible leadership, and collective ignorance. My heart goes out to the thousands displaced by this disaster https://t.co/eQg5zESgcD",,,FALSE,1,1,,,,,,[],['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Sat Aug 29 09:32:51 +0000 2020,1.30E+18,1.30E+18,Rising sea levels have displaced 4 million people on Africa’s west coast https://t.co/5OQ2A69D30,"[""Rising"", ""sea"", ""levels"", ""displaced"", ""4"", ""million"", ""people""]","[""B-trig"", ""I-trig"", ""I-trig"", ""B-term"", ""B-fig"", ""I-fig"", ""B-unit""]",FALSE,1,0,displaced,people,4 million,,,[],"['displac', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Sat Aug 29 08:55:39 +0000 2020,1.30E+18,1.30E+18,Hammer in the #climaterefugee until people are discussing it in normal conversations to prepare for the the future if/when we blow past a 2.0C increase and the current 79 million displaced by climate change increases to a billion. What measures will people take to stay alive? https://t.co/7WylShucsQ,"[ ""79"", ""million"", ""displaced"", ""climate"", ""change""]","[""B-fig"", ""I-fig"", ""B-term"", ""B-trig"", ""I-trig""]",TRUE,1,0,displaced,,79 million,,,[],"['peopl', 'displac', 'peopl']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sat Aug 29 07:52:33 +0000 2020,1.30E+18,1.30E+18,"Pakistan is the largest taker of asylum seekers in the world, 1.4m (as of 2018). Do you think they have the resources?

Climate change is going leave hundreds of millions, if not billions, displaced. https://t.co/6dJkzd0VUj","[""Climate"", ""change"", ""hundreds"", ""of"", ""millions"", ""billions"", ""displaced""]","[""B-trig"", ""I-trig"", ""B-fig"", ""I-fig"", ""I-fig"", ""B-fig"", ""B-term""]",FALSE,1,0,displaced,,billions,,,[],['displac'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
